year,Beat,Arrest_Count,Total_Crime_Count,Arrest_Success_Rate
2004,1131,2,3,66.67
2004,621,4,6,66.67
2004,134,2,3,66.67
2004,2234,2,3,66.67
2004,321,2,3,66.67
2004,713,2,3,66.67
2004,934,2,3,66.67
2004,322,4,6,66.67
2004,1822,2,3,66.67
2004,921,2,3,66.67
2004,311,2,3,66.67
2004,2422,5,8,62.50
2004,2232,3,5,60.00
2004,2123,3,5,60.00
2004,833,3,5,60.00
2004,634,3,5,60.00
2004,233,3,5,60.00
2004,1222,3,5,60.00
2004,1021,3,5,60.00
2004,323,3,5,60.00
2004,324,4,7,57.14
2004,533,4,7,57.14
2004,733,5,9,55.56
2004,1023,2,4,50.00
2004,715,1,2,50.00
2004,1723,1,2,50.00
2004,1411,1,2,50.00
2004,931,1,2,50.00
2004,1132,1,2,50.00
2004,915,2,4,50.00
2004,412,1,2,50.00
2004,211,1,2,50.00
2004,1434,1,2,50.00
2004,532,1,2,50.00
2004,1313,1,2,50.00
2004,612,2,4,50.00
2004,333,1,2,50.00
2004,633,1,2,50.00
2004,2424,2,4,50.00
2004,2512,2,4,50.00
2004,222,1,2,50.00
2004,1923,2,4,50.00
2004,723,2,4,50.00
2004,1732,1,2,50.00
2004,2222,1,2,50.00
2004,1513,3,6,50.00
2004,1733,1,2,50.00
2004,823,2,4,50.00
2004,1115,1,2,50.00
2004,1524,1,2,50.00
2004,524,2,4,50.00
2004,2433,2,4,50.00
2004,1121,1,2,50.00
2004,2535,1,2,50.00
2004,421,4,8,50.00
2004,1034,2,4,50.00
2004,1114,1,2,50.00
2004,2513,5,11,45.45
2004,613,3,7,42.86
2004,711,3,7,42.86
2004,814,3,7,42.86
2004,735,2,5,40.00
2004,2531,2,5,40.00
2004,1511,2,5,40.00
2004,423,4,10,40.00
2004,725,2,5,40.00
2004,221,1,3,33.33
2004,1614,1,3,33.33
2004,925,1,3,33.33
2004,214,1,3,33.33
2004,1323,2,6,33.33
2004,2324,1,3,33.33
2004,923,1,3,33.33
2004,911,1,3,33.33
2004,2331,1,3,33.33
2004,813,1,3,33.33
2004,1031,2,6,33.33
2004,313,1,3,33.33
2004,332,1,3,33.33
2004,1423,1,4,25.00
2004,1123,1,4,25.00
2004,422,1,4,25.00
2004,914,1,4,25.00
2004,413,1,4,25.00
2004,1713,1,4,25.00
2004,2131,1,4,25.00
2004,523,1,4,25.00
2004,614,1,4,25.00
2004,631,1,5,20.00
2004,1924,1,5,20.00
2004,1531,1,6,16.67
2004,1013,1,6,16.67
2004,2532,1,7,14.29
2004,1111,1,7,14.29
2004,834,1,10,10.00
2004,611,0,2,0.00
2004,1831,0,5,0.00
2004,922,0,1,0.00
2004,1022,0,4,0.00
2004,512,0,3,0.00
2004,111,0,2,0.00
2004,1512,0,4,0.00
2004,912,0,3,0.00
2004,2132,0,2,0.00
2004,2413,0,4,0.00
2004,1722,0,1,0.00
2004,1135,0,1,0.00
2004,835,0,8,0.00
2004,2412,0,1,0.00
2004,1324,0,1,0.00
2004,1424,0,1,0.00
2004,1813,0,1,0.00
2004,2333,0,2,0.00
2004,722,0,1,0.00
2004,2211,0,6,0.00
2004,815,0,4,0.00
2004,811,0,1,0.00
2004,812,0,1,0.00
2004,1232,0,1,0.00
2004,331,0,4,0.00
2004,1612,0,1,0.00
2004,1834,0,1,0.00
2004,1033,0,5,0.00
2004,1333,0,1,0.00
2004,1623,0,1,0.00
2004,2511,0,1,0.00
2004,2031,0,1,0.00
2004,1223,0,4,0.00
2004,1632,0,1,0.00
2004,1024,0,4,0.00
2004,734,0,1,0.00
2004,1331,0,1,0.00
2004,1322,0,1,0.00
2004,724,0,1,0.00
2004,1432,0,1,0.00
2004,731,0,2,0.00
2004,2533,0,1,0.00
2004,632,0,1,0.00
2004,2112,0,1,0.00
2004,133,0,1,0.00
2004,2514,0,1,0.00
2004,511,0,1,0.00
2004,824,0,1,0.00
2004,2431,0,1,0.00
2004,1532,0,1,0.00
2004,2233,0,1,0.00
2004,414,0,1,0.00
2004,1113,0,1,0.00
2004,224,0,1,0.00
2005,212,2,2,100.00
2005,1413,1,1,100.00
2005,2433,2,2,100.00
2005,311,3,3,100.00
2005,1832,2,2,100.00
2005,1412,3,3,100.00
2005,2332,1,1,100.00
2005,2022,1,1,100.00
2005,633,1,1,100.00
2005,611,1,1,100.00
2005,2412,2,2,100.00
2005,2431,2,2,100.00
2005,2011,2,2,100.00
