year,Lat,Lng,Crime_Count
2001,41.8858,-87.6281,38
2001,41.8881,-87.6241,38
2001,41.8893,-87.705,38
2001,41.9009,-87.643,38
2001,41.7129,-87.5923,38
2001,41.8007,-87.7039,38
2001,41.8027,-87.6193,38
2001,41.7855,-87.6208,38
2001,41.7883,-87.6048,38
2001,41.7622,-87.5626,38
2001,41.7632,-87.5596,38
2001,41.7587,-87.5863,37
2001,41.8022,-87.6193,37
2001,41.781,-87.6838,37
2001,41.996,-87.7876,37
2001,41.9702,-87.7626,37
2001,41.8054,-87.6037,37
2001,41.808,-87.7041,37
2001,41.8187,-87.6947,37
2001,41.8927,-87.6201,37
2001,41.886,-87.6208,37
2001,41.8894,-87.765,37
2001,41.9068,-87.7672,37
2001,41.9096,-87.7559,36
2001,41.9097,-87.7456,36
2001,41.8934,-87.6298,36
2001,41.9727,-87.6579,36
2001,41.9548,-87.6689,36
2001,41.779,-87.6157,36
2001,41.796,-87.7597,36
2001,41.7734,-87.5766,36
2001,41.8683,-87.7098,36
2001,41.8753,-87.6244,36
2001,41.8082,-87.7458,36
2001,41.8095,-87.6064,36
2001,41.8102,-87.6751,36
2001,41.8781,-87.6267,36
2001,41.8787,-87.6278,36
2001,41.8812,-87.6941,36
2001,41.6925,-87.6249,36
2001,41.6925,-87.6233,36
2001,41.7503,-87.6636,35
2001,41.7561,-87.5796,35
2001,41.9614,-87.6546,35
2001,41.9669,-87.6491,35
2001,41.9288,-87.674,35
2001,41.9364,-87.6506,35
2001,42.0195,-87.6696,35
2001,41.8932,-87.7508,35
2001,41.9032,-87.6322,35
2001,41.9049,-87.6409,35
2001,41.9005,-87.6994,35
2001,41.8858,-87.6311,35
2001,41.8786,-87.6642,35
2001,41.8584,-87.6274,35
2001,41.8094,-87.6211,35
2001,41.7697,-87.6371,35
2001,41.7803,-87.6171,35
2001,41.7781,-87.7008,34
2001,41.7578,-87.5856,34
2001,41.7914,-87.5801,34
2001,41.7929,-87.7594,34
2001,41.6963,-87.6271,34
2001,41.9551,-87.7623,34
2001,41.9683,-87.7287,34
2001,41.8116,-87.6046,34
2001,41.8775,-87.6832,34
2001,41.8781,-87.6278,34
2001,41.8788,-87.6887,34
2001,41.8794,-87.7464,34
2001,41.8804,-87.7633,34
2001,41.8542,-87.6237,34
2001,41.8229,-87.6024,34
2001,41.8307,-87.6234,34
2001,41.8703,-87.7741,34
2001,41.8829,-87.7631,34
2001,41.8887,-87.6371,34
2001,41.8931,-87.6352,34
2001,41.9161,-87.7218,34
2001,41.8969,-87.7484,34
2001,41.8994,-87.6949,33
2001,41.9001,-87.7313,33
2001,41.8924,-87.6264,33
2001,41.8856,-87.6257,33
2001,41.9221,-87.6322,33
2001,41.7367,-87.605,33
2001,41.7263,-87.5673,33
2001,41.7478,-87.6632,33
2001,41.7938,-87.6452,33
2001,41.7962,-87.7234,33
2001,41.7751,-87.6691,33
2001,41.8001,-87.7235,33
2001,41.7691,-87.6251,33
2001,41.855,-87.7336,33
2001,41.8823,-87.666,33
2001,41.8288,-87.6123,33
2001,41.8311,-87.6084,33
2001,41.8413,-87.627,33
2001,41.8617,-87.6607,33
2001,41.9389,-87.747,33
2001,41.9536,-87.7431,33
2001,41.9667,-87.6549,32
2001,41.9298,-87.6841,32
2001,41.7026,-87.536,32
2001,41.7216,-87.6239,32
2001,41.7505,-87.6442,32
2001,41.9238,-87.7899,32
2001,41.8918,-87.6277,32
2001,41.8939,-87.635,32
2001,41.8995,-87.624,32
2001,41.8869,-87.6247,32
2001,41.8647,-87.6665,32
2001,41.8671,-87.6243,32
2001,41.853,-87.6355,32
2001,41.8106,-87.6019,32
2001,41.8721,-87.6337,32
2001,41.8817,-87.6419,32
2001,41.7782,-87.6335,32
2001,41.7783,-87.6157,32
2001,41.7797,-87.6449,32
2001,41.8005,-87.7235,32
2001,41.8009,-87.6564,32
2001,41.7662,-87.5629,31
2001,41.7699,-87.6908,31
2001,41.7508,-87.6344,31
2001,41.7318,-87.5528,31
2001,41.707,-87.6253,31
2001,41.7144,-87.5672,31
2001,41.8803,-87.6245,31
2001,41.882,-87.6921,31
2001,41.807,-87.6037,31
2001,41.8098,-87.5942,31
2001,41.8421,-87.627,31
2001,41.8831,-87.6269,31
2001,41.8838,-87.6323,31
2001,41.9068,-87.6677,31
2001,41.9109,-87.6532,31
2001,41.8893,-87.6279,30
2001,41.8904,-87.7676,30
2001,41.8925,-87.6282,30
2001,41.918,-87.6665,30
2001,41.8964,-87.6241,30
2001,41.7989,-87.6278,30
2001,41.7996,-87.5955,30
2001,41.802,-87.6163,30
2001,41.7708,-87.6301,30
2001,41.7733,-87.5864,30
2001,41.7803,-87.6061,30
2001,42.0027,-87.6692,30
2001,42.014,-87.664,30
2001,41.9267,-87.7038,30
2001,41.9295,-87.6837,30
2001,41.9746,-87.6576,30
2001,41.8788,-87.6782,30
2001,41.8791,-87.6263,30
2001,41.8581,-87.7235,30
2001,41.8203,-87.6165,30
2001,41.7028,-87.5277,30
2001,41.7223,-87.5829,30
2001,41.9106,-87.6775,29
2001,41.925,-87.6725,29
2001,41.9252,-87.6719,29
2001,41.8905,-87.6268,29
2001,41.8944,-87.7634,29
2001,41.7794,-87.6644,29
2001,41.803,-87.6066,29
2001,41.758,-87.5796,29
2001,41.8297,-87.6097,29
2001,41.8798,-87.6276,29
2001,41.8806,-87.6291,29
2001,41.8807,-87.6256,29
2001,41.8812,-87.6964,29
2001,41.8446,-87.6948,29
2001,41.8646,-87.6242,29
2001,41.8739,-87.6991,29
2001,41.9474,-87.6496,29
2001,41.94,-87.6509,29
2001,41.9723,-87.7468,28
2001,41.9737,-87.6579,28
2001,41.9457,-87.7685,28
2001,41.9859,-87.6582,28
2001,41.9653,-87.6592,28
2001,41.8934,-87.6566,28
2001,41.8936,-87.631,28
2001,41.8856,-87.7259,28
2001,41.8882,-87.6294,28
2001,41.9238,-87.7863,28
2001,41.9252,-87.6744,28
2001,41.9024,-87.6286,28
2001,41.9043,-87.6316,28
2001,41.9148,-87.7756,28
2001,41.6949,-87.6423,28
2001,41.7079,-87.5684,28
2001,41.7516,-87.5664,28
2001,41.8742,-87.6712,28
2001,41.8757,-87.6207,28
2001,41.8795,-87.626,28
2001,41.8298,-87.6116,28
2001,41.8528,-87.7016,28
2001,41.7771,-87.6157,28
2001,41.7788,-87.7059,28
2001,41.7919,-87.6161,28
2001,41.7945,-87.6161,28
2001,41.7857,-87.6074,28
2001,41.7721,-87.6642,28
2001,41.776,-87.6419,28
2001,41.7723,-87.5668,27
2001,41.7734,-87.5669,27
2001,41.7773,-87.6157,27
2001,41.7785,-87.6157,27
2001,41.782,-87.6717,27
2001,41.7654,-87.6251,27
2001,41.7674,-87.5765,27
2001,41.7677,-87.5904,27
2001,41.7686,-87.583,27
2001,41.7589,-87.5629,27
2001,41.8049,-87.609,27
2001,41.9109,-87.6493,27
2001,41.899,-87.6675,27
2001,41.904,-87.6301,27
2001,41.8849,-87.7505,27
2001,41.8855,-87.6338,27
2001,41.9683,-87.6534,27
2001,41.9329,-87.6364,27
2001,41.9473,-87.6564,27
2001,41.8164,-87.6313,27
2001,41.8258,-87.6077,27
2001,41.8776,-87.6886,27
2001,41.8311,-87.6285,27
2001,41.729,-87.5545,27
2001,41.6842,-87.6209,27
2001,41.7333,-87.5445,27
2001,41.7362,-87.625,26
2001,41.7326,-87.6255,26
2001,41.7515,-87.5761,26
2001,41.7519,-87.5591,26
2001,41.756,-87.6577,26
2001,41.687,-87.6196,26
2001,41.8832,-87.706,26
2001,41.8917,-87.6243,26
2001,41.8941,-87.7652,26
2001,41.8949,-87.6229,26
2001,41.9015,-87.6315,26
2001,41.9243,-87.7464,26
2001,42.0056,-87.6611,26
2001,41.8024,-87.5884,26
2001,41.7649,-87.6639,26
2001,41.7664,-87.6057,26
2001,41.7693,-87.6083,26
2001,41.7792,-87.6741,26
2001,41.7613,-87.5577,26
2001,41.7835,-87.6061,26
2001,41.7936,-87.6647,26
2001,41.8309,-87.6291,26
2001,41.8309,-87.6268,26
2001,41.8311,-87.6129,26
2001,41.8327,-87.6219,26
2001,41.8432,-87.6948,26
2001,41.8443,-87.6283,26
2001,41.8238,-87.6135,26
2001,41.8239,-87.6198,26
2001,41.8734,-87.6277,26
2001,41.8751,-87.7176,26
2001,41.8762,-87.6309,26
2001,41.8521,-87.6747,26
2001,41.8798,-87.6322,26
2001,41.8654,-87.6536,26
2001,41.9617,-87.652,26
2001,41.9402,-87.6543,25
2001,41.9486,-87.6885,25
2001,41.9546,-87.6516,25
2001,41.9769,-87.6923,25
2001,41.9885,-87.6555,25
2001,42.0187,-87.666,25
2001,41.7211,-87.6777,25
2001,41.7449,-87.5502,25
2001,41.685,-87.6423,25
2001,41.9239,-87.6393,25
2001,41.8853,-87.6356,25
2001,41.8864,-87.6244,25
2001,41.902,-87.641,25
2001,41.9024,-87.767,25
2001,41.8981,-87.6239,25
2001,41.8927,-87.624,25
2001,41.8956,-87.688,25
2001,41.8414,-87.6135,25
2001,41.8442,-87.622,25
2001,41.824,-87.6031,25
2001,41.8258,-87.6233,25
2001,41.8789,-87.6245,25
2001,41.8808,-87.7114,25
2001,41.8812,-87.6911,25
2001,41.8817,-87.6295,25
2001,41.8068,-87.6229,25
2001,41.769,-87.5667,25
2001,41.7692,-87.6268,25
2001,41.784,-87.5964,25
2001,41.7781,-87.6316,25
2001,41.7805,-87.5866,25
2001,41.7611,-87.565,25
2001,41.7597,-87.6444,24
2001,41.7597,-87.5565,24
2001,41.7604,-87.5572,24
2001,41.7609,-87.576,24
2001,41.8009,-87.5906,24
2001,41.7769,-87.6157,24
2001,41.7656,-87.6154,24
2001,41.7664,-87.6321,24
2001,41.7852,-87.6087,24
2001,41.6851,-87.6344,24
2001,41.7336,-87.5515,24
2001,41.9439,-87.6492,24
2001,41.9469,-87.6542,24
2001,41.9655,-87.6585,24
2001,41.9342,-87.6783,24
2001,41.9386,-87.6498,24
2001,41.9784,-87.8463,24
2001,41.8087,-87.614,24
2001,41.8661,-87.7203,24
2001,41.818,-87.6069,24
2001,41.8211,-87.6017,24
2001,41.8237,-87.6315,24
2001,41.8926,-87.6262,24
2001,41.8948,-87.6244,24
2001,41.9211,-87.6975,24
2001,41.9246,-87.726,24
2001,41.9094,-87.7548,24
2001,41.9109,-87.6497,24
2001,41.8962,-87.6244,24
2001,41.8968,-87.6244,24
2001,41.9001,-87.624,24
2001,41.8846,-87.6291,24
2001,41.8846,-87.6233,24
2001,41.8878,-87.7652,24
2001,41.9019,-87.7154,24
2001,41.904,-87.6313,24
2001,41.9066,-87.7015,24
2001,41.9026,-87.7179,23
2001,41.922,-87.6434,23
2001,41.8907,-87.6243,23
2001,41.8948,-87.6159,23
2001,41.8953,-87.7201,23
2001,41.8956,-87.6283,23
2001,41.8831,-87.7684,23
2001,41.8831,-87.6302,23
2001,41.8832,-87.7492,23
2001,41.8859,-87.6244,23
2001,41.8867,-87.7649,23
2001,41.8893,-87.6282,23
2001,41.8973,-87.726,23
2001,41.7347,-87.5857,23
2001,41.678,-87.6207,23
2001,41.6926,-87.6212,23
2001,41.7501,-87.683,23
2001,41.7507,-87.6442,23
2001,41.7512,-87.6051,23
2001,41.7544,-87.5572,23
2001,41.7842,-87.6068,23
